

epa_id,year,gen_count,gen_tons,trans_count,trans_tons,tsdf_count,tsdf_tons
CAC003275168,2024,1,1.6856,0,0,0,0
CA9170024740,2024,132,891.5973,0,0,0,0
CA9170024740,2023,191,2638.96177,0,0,0,0
CA9170024740,2022,268,4130.32213,0,0,0,0
CA9170024740,2021,1676,39809.93567,7,177.66,0,0
CA9170024740,2020,2105,49470.21481,2,50.76,0,0
CA9170024740,2019,115,415.18023,1,9.918,0,0
CA9170024740,2018,125,706.32165,0,0,0,0
CA9170024740,2017,126,509.70758,0,0,0,0
CA9170024740,2016,135,879.18279,0,0,0,0
CA9170024740,2015,133,766.79824,0,0,0,0
CA9170024740,2014,106,354.29572,0,0,0,0
CA9170024740,2013,136,920.62023,0,0,0,0
CA9170024740,2012,384,6971.51083,0,0,0,0
CA9170024740,2011,226,3312.88029,0,0,0,0
CA9170024740,2010,546,8430.96938,0,0,0,0
CA9170024740,2009,190,1690.69251,0,0,0,0
CA9170024740,2008,138,611.14089,0,0,0,0
CA9170024740,2007,173,1003.5825,0,0,0,0
CA9170024740,2006,115,274.14905,0,0,0,0
CA9170024740,2005,145,354.18113,0,0,0,0
CA9170024740,2004,122,195.54867,0,0,0,0
CA9170024740,2003,109,103.42682,0,0,0,0
CA9170024740,2002,156,122.51294,0,0,0,0
CA9170024740,2001,206,289.84865,0,0,0,0
CA9170024740,2000,183,141.12564,0,0,0,0
CA9170024740,1999,185,370.9196,0,0,0,0
CA9170024740,1998,146,382.03154,0,0,0,0
CA9170024740,1997,139,327.73797,0,0,0,0
CA9170024740,1996,299,1850.327,0,0,0,0
CA9170024740,1995,388,2899.40559,0,0,0,0
CA9170024740,1994,387,2308.83003,1,4.17014,0,0
CA9170024740,1993,390,1809.70623,0,0,0,0
CA0000001149,2024,9,2.24625,0,0,0,0
CA0000001149,2023,12,3.585,0,0,0,0
CA0000001149,2022,11,2.784,0,0,0,0
CA0000001149,2021,11,2.648,0,0,0,0
CA0000001149,2020,13,2.6815,0,0,0,0
CA0000001149,2019,17,3.377,0,0,0,0
CA0000001149,2018,14,3.5215,0,0,0,0
CA0000001149,2017,14,2.1805,0,0,0,0
CA0000001149,2016,14,1.90681,0,0,0,0
CA0000001149,2015,15,4.51966,0,0,0,0
CA0000001149,2014,17,2.6795,0,0,0,0
CA0000001149,2013,15,2.14,0,0,0,0
CA0000001149,2012,11,2.264,0,0,0,0
CA0000001149,2011,6,0.6134,0,0,0,0
CA0000001149,2010,6,1.0639,0,0,0,0
CA0000001149,2009,11,2.80266,0,0,0,0
CA0000001149,2008,13,2.12496,0,0,0,0
CA0000001149,2007,5,0.4578,0,0,0,0
